id;tytul;typ_wydarzenia_lista;link_do_obrazka_lista;sciezka_do_pobranego_obrazka;obiekty;ulice;miasta;data_rozpoczecia;data_zakonczenia;godzina_rozpoczecia;czy_stale;hashtagi;czy_na_zewnatrz
53439;Przygody Tomka Sawyera;Spektakle teatralne;http://media.krakow.travel/photos/69499/m.jpg;obrazy_wydarzen_karnet/53439.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-01;;11:00;;#spektakle #teatralne;1
56500;MET Opera w Kinie Kijów;Pokazy filmowe;http://media.krakow.travel/photos/69867/m.jpg;obrazy_wydarzen_karnet/56500.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-01;;18:55;;#pokazy #filmowe;1
53439;Przygody Tomka Sawyera;Spektakle teatralne;http://media.krakow.travel/photos/69499/m.jpg;obrazy_wydarzen_karnet/53439.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-01;;11:00;;#spektakle #teatralne;0
59719;Sto nocnych zjaw. Duchy, demony i upiory w sztuce Japonii i Zachodu;Wystawy czasowe;http://media.krakow.travel/photos/73205/m.jpg;obrazy_wydarzen_karnet/59719.jpg;Muzeum Sztuki i Techniki Japońskiej Manggha;ul. Konopnickiej 26;Kraków;2025-06-01;2025-08-31;;;#wystawy #czasowe;1
53439;Przygody Tomka Sawyera;Spektakle teatralne;http://media.krakow.travel/photos/69499/m.jpg;obrazy_wydarzen_karnet/53439.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-01;;11:00;;#spektakle #teatralne;0
55695;Twój problem, nasza głowa – komediowe show improwizowane;Inne przedstawienia;http://media.krakow.travel/photos/68998/m.jpg;obrazy_wydarzen_karnet/55695.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-01;;17:00;;#inne #przedstawienia;1
49145;Nick Cave. Ballady kochanków i morderców;Spektakle teatralne;http://media.krakow.travel/photos/61674/m.jpg;obrazy_wydarzen_karnet/49145.jpg;Pod Jaszczurami;Rynek Główny 8;Kraków;2025-06-01;;19:00;;#spektakle #teatralne;0
56500;MET Opera w Kinie Kijów;Pokazy filmowe;http://media.krakow.travel/photos/69867/m.jpg;obrazy_wydarzen_karnet/56500.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-01;;18:55;;#pokazy #filmowe;1
59834;Monty Python i Święty Graal. Pokazy specjalne w Kinie Agrafka;Pokazy filmowe;http://media.krakow.travel/photos/73342/m.jpg;obrazy_wydarzen_karnet/59834.jpg;Kino Agrafka;ul. Krowoderska 8;Kraków;2025-06-01;;18:00;;#pokazy #filmowe;0
56708;Sei Solo – muzyka skrzypcowa J.S. Bacha i jemu współczesnych;Muzyka klasyczna;http://media.krakow.travel/photos/70093/m.jpg;obrazy_wydarzen_karnet/56708.jpg;Aula Florianka;ul. Basztowa 8;Kraków;2025-06-01;;;;#muzyka #klasyczna;1
56708;Sei Solo – muzyka skrzypcowa J.S. Bacha i jemu współczesnych;Muzyka klasyczna;http://media.krakow.travel/photos/70093/m.jpg;obrazy_wydarzen_karnet/56708.jpg;Aula Florianka;ul. Basztowa 8;Kraków;2025-06-01;;;;#muzyka #klasyczna;0
55695;Twój problem, nasza głowa – komediowe show improwizowane;Inne przedstawienia;http://media.krakow.travel/photos/68998/m.jpg;obrazy_wydarzen_karnet/55695.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-01;;17:00;;#inne #przedstawienia;0
47990;O mało co...;Spektakle teatralne;http://media.krakow.travel/photos/60364/m.jpg;obrazy_wydarzen_karnet/47990.jpg;Centrum Kongresowe ICE Kraków;ul. Konopnickiej 17;Kraków;2025-06-01;;15:00;;#spektakle #teatralne;0
59836;Mała KIKA. Dzień Dziecka z polską animacją;Pokazy filmowe;http://media.krakow.travel/photos/73343/m.jpg;obrazy_wydarzen_karnet/59836.jpg;Kinokawiarnia KIKA;ul. Krasickiego 18;Kraków;2025-06-01;;12:00;;#pokazy #filmowe;0
31377;Rytmy Światła Błyski;Spektakle teatralne;http://media.krakow.travel/photos/73231/m.jpg;obrazy_wydarzen_karnet/31377.jpg;Teatr Figurki;ul. Sławkowska 14;Kraków;2025-06-01;;12:00;;#spektakle #teatralne;0
59835;Czytamy i oglądamy w Agrafce. Felek i Tola ratują las;Pokazy filmowe;http://media.krakow.travel/photos/73329/m.jpg;obrazy_wydarzen_karnet/59835.jpg;Kino Agrafka;ul. Krowoderska 8;Kraków;2025-06-01;;11:00;;#pokazy #filmowe;0
53166;Gino i Suzi. Kucharze;Spektakle teatralne;http://media.krakow.travel/photos/23339/m.jpg;obrazy_wydarzen_karnet/53166.jpg;Teatr Praska 52;ul. Praska 52;Kraków;2025-06-01;;11:00;;#spektakle #teatralne;1
59832;Piknik na Dzień Dziecka w Ogrodzie Doświadczeń;Widowiska plenerowe i happeningi;http://media.krakow.travel/photos/73340/m.jpg;obrazy_wydarzen_karnet/59832.jpg;Ogród Doświadczeń im. Stanisława Lema;park Lotników Polskich;al. Pokoju 68;2025-06-01;;10:00;;#widowiska #plenerowe #happeningi;1
59719;Sto nocnych zjaw. Duchy, demony i upiory w sztuce Japonii i Zachodu;Wystawy czasowe;http://media.krakow.travel/photos/73205/m.jpg;obrazy_wydarzen_karnet/59719.jpg;Muzeum Sztuki i Techniki Japońskiej Manggha;ul. Konopnickiej 26;Kraków;2025-06-01;2025-08-31;;;#wystawy #czasowe;1
59684;Projekt 51. Wystawa grafik inspirowanych twórczością Georges’a Pereca;Wystawy czasowe;http://media.krakow.travel/photos/73157/m.jpg;obrazy_wydarzen_karnet/59684.jpg;Lokator;ul. Mostowa 1;Kraków;2025-06-01;2025-06-30;;;#wystawy #czasowe;0
53439;Przygody Tomka Sawyera;Spektakle teatralne;http://media.krakow.travel/photos/69499/m.jpg;obrazy_wydarzen_karnet/53439.jpg;Teatr Bagatela im. Tadeusza Boya-Żeleńskiego;ul. Karmelicka 6;Kraków;2025-06-01;;11:00;;#spektakle #teatralne;1
59525;Bajkowy Dzień Dziecka z CKiS;W gminach Metropolii;http://media.krakow.travel/photos/73017/m.jpg;obrazy_wydarzen_karnet/59525.jpg;Park Miejski im. marsz. Józefa Piłsudskiego;ul. Kublińskiego;Skawina;2025-06-01;;15:00;;#WGminach #Metropolii;0
59719;Sto nocnych zjaw. Duchy, demony i upiory w sztuce Japonii i Zachodu;Wystawy czasowe;http://media.krakow.travel/photos/73205/m.jpg;obrazy_wydarzen_karnet/59719.jpg;Muzeum Sztuki i Techniki Japońskiej Manggha;ul. Konopnickiej 26;Kraków;2025-06-01;2025-08-31;;;#wystawy #czasowe;1
56500;MET Opera w Kinie Kijów;Pokazy filmowe;http://media.krakow.travel/photos/69867/m.jpg;obrazy_wydarzen_karnet/56500.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-01;;18:55;;#pokazy #filmowe;0
47990;O mało co...;Spektakle teatralne;http://media.krakow.travel/photos/60364/m.jpg;obrazy_wydarzen_karnet/47990.jpg;Centrum Kongresowe ICE Kraków;ul. Konopnickiej 17;Kraków;2025-06-01;;15:00;;#spektakle #teatralne;0
55695;Twój problem, nasza głowa – komediowe show improwizowane;Inne przedstawienia;http://media.krakow.travel/photos/68998/m.jpg;obrazy_wydarzen_karnet/55695.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-01;;17:00;;#inne #przedstawienia;0
55695;Twój problem, nasza głowa – komediowe show improwizowane;Inne przedstawienia;http://media.krakow.travel/photos/68998/m.jpg;obrazy_wydarzen_karnet/55695.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-01;;17:00;;#inne #przedstawienia;0
47990;O mało co...;Spektakle teatralne;http://media.krakow.travel/photos/60364/m.jpg;obrazy_wydarzen_karnet/47990.jpg;Centrum Kongresowe ICE Kraków;ul. Konopnickiej 17;Kraków;2025-06-01;;15:00;;#spektakle #teatralne;1
53166;Gino i Suzi. Kucharze;Spektakle teatralne;http://media.krakow.travel/photos/23339/m.jpg;obrazy_wydarzen_karnet/53166.jpg;Teatr Praska 52;ul. Praska 52;Kraków;2025-06-01;;11:00;;#spektakle #teatralne;0
56500;MET Opera w Kinie Kijów;Pokazy filmowe;http://media.krakow.travel/photos/69867/m.jpg;obrazy_wydarzen_karnet/56500.jpg;Kino Kijów;al. Krasińskiego 34;Kraków;2025-06-01;;18:55;;#pokazy #filmowe;1
58594;Tysiąclecie Korony Polskiej;Spotkania i slajdowiska;http://media.krakow.travel/photos/72006/m.jpg;obrazy_wydarzen_karnet/58594.jpg;Collegium Novum UJ;ul. Gołębia 24;Kraków;2025-06-02;;16:00;;#spotkania #slajdowiska;0
59766;Mieszczanie, dekadenci, literaci. O powieści Buddenbrokowie;Spotkania i wykłady literackie;http://media.krakow.travel/photos/73273/m.jpg;obrazy_wydarzen_karnet/59766.jpg;Goethe-Institut Krakau;ul. Podgórska 34;Kraków;2025-06-02;;18:00;;#spotkania #wykłady #literackie;0
59712;Książka receptą na życie. Spotkanie z Elżbietą Łapczyńską i Marcinem Wilkiem;Spotkania i wykłady literackie;http://media.krakow.travel/photos/73196/m.jpg;obrazy_wydarzen_karnet/59712.jpg;Antykwariat Abecadło;ul. Kościuszki 18;Kraków;2025-06-02;;18:00;;#spotkania #wykłady #literackie;1
58594;Tysiąclecie Korony Polskiej;Spotkania i slajdowiska;http://media.krakow.travel/photos/72006/m.jpg;obrazy_wydarzen_karnet/58594.jpg;Collegium Novum UJ;ul. Gołębia 24;Kraków;2025-06-02;;16:00;;#spotkania #slajdowiska;1
59741;Komediowy pokaz powarsztatowy. Grupa Janka;Kabaret;http://media.krakow.travel/photos/73232/m.jpg;obrazy_wydarzen_karnet/59741.jpg;Buda;ul. Czapskich 2;Kraków;2025-06-02;;20:00;;#kabaret;1
58594;Tysiąclecie Korony Polskiej;Spotkania i slajdowiska;http://media.krakow.travel/photos/72006/m.jpg;obrazy_wydarzen_karnet/58594.jpg;Collegium Novum UJ;ul. Gołębia 24;Kraków;2025-06-02;;16:00;;#spotkania #slajdowiska;1
