id_strony,tytul,typ_wydarzenia_lista,link_do_obrazka_lista,sciezka_do_pobranego_obrazka,obiekty,ulice,miasta,data_rozpoczecia,data_zakonczenia,godzina_rozpoczecia,czy_stale,hashtagi,likes,info_clicks,shares,watch_time,saves,score
2969,59833,Weekend z Pawłem Pawlikowskim w Kinie KIKA,Pokazy filmowe,http://media.krakow.travel/photos/73341/m.jpg,obrazy_wydarzen_karnet/59833.jpg,Kinokawiarnia KIKA,ul. Krasickiego 18,Kraków,2025-05-31,,18:00,,#pokazy #filmowe,47,18,11,25,4,78.8
2868,38419,Spóźnione odwiedziny,Spektakle teatralne,http://media.krakow.travel/photos/47726/m.jpg,obrazy_wydarzen_karnet/38419.jpg,Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin),pl. Świętego Ducha 2,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,55,17,10,29,8,87.79999999999998
2869,57558,Moje domy na trzy głosy,Spektakle teatralne,http://media.krakow.travel/photos/70988/m.jpg,obrazy_wydarzen_karnet/57558.jpg,Scena Teatru Zależnego,ul. Kanonicza 1,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,42,27,12,62,8,97.19999999999999
2870,59475,"Szpilki, koki i Włoski kochanek",Kabaret,http://media.krakow.travel/photos/72965/m.jpg,obrazy_wydarzen_karnet/59475.jpg,Muzeum Sztuki i Techniki Japońskiej Manggha,ul. Konopnickiej 26,Kraków,2025-05-31,,19:00,,#kabaret,52,16,17,95,4,113.8
2871,59485,Letni dzień,Spektakle teatralne,http://media.krakow.travel/photos/72975/m.jpg,obrazy_wydarzen_karnet/59485.jpg,Pod Jaszczurami,Rynek Główny 8,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,58,17,11,41,3,95.19999999999999
2872,59707,sKRRt – Konkurs Recytacji Rapu #5,Inne przedstawienia,http://media.krakow.travel/photos/73191/m.jpg,obrazy_wydarzen_karnet/59707.jpg,Teatr im. Juliusza Słowackiego,pl. Świętego Ducha 1,Kraków,2025-05-31,,19:30,,#inne #przedstawienia,43,26,11,18,6,78.8
2873,59605,StrefaEtno | Kapela ze Wsi Warszawa,Muzyka rozrywkowa,http://media.krakow.travel/photos/73089/m.jpg,obrazy_wydarzen_karnet/59605.jpg,Strefa Nowa,ul. Kopernika 19,Kraków,2025-05-31,,20:00,,#muzyka #rozrywkowa,46,15,14,76,11,99.00000000000001
2942,59260,Małopolski Festiwal Komiksu 2025,Festiwale literackie,http://media.krakow.travel/photos/72717/m.jpg,obrazy_wydarzen_karnet/59260.jpg,Arteteka Wojewódzkiej Biblioteki Publicznej,ul. Rajska 12,Kraków,2025-05-31,2025-06-01,,,#festiwale #literackie,49,20,8,49,4,90.2
2943,59817,Andy Warhol. Dialog z pop-artem,Wystawy czasowe,http://media.krakow.travel/photos/73324/m.jpg,obrazy_wydarzen_karnet/59817.jpg,Małopolskie Centrum Nauki Cogiteon,ul. Stefana Steca 1,Kraków,2025-05-31,2025-08-29,10:00,,#wystawy #czasowe,52,26,10,50,7,100.2
1521,24108,Dzieci z Dworca ZOO,Spektakle teatralne,http://media.krakow.travel/photos/71762/m.jpg,obrazy_wydarzen_karnet/24108.jpg,Teatr Barakah,ul. Paulińska 28,Kraków,2025-05-31,,19:00,,#spektakle #teatralne,45,27,10,53,6,95.0
