;id_strony;tytul;typ_wydarzenia_lista;link_do_obrazka_lista;sciezka_do_pobranego_obrazka;obiekty;ulice;miasta;data_rozpoczecia;data_zakonczenia;godzina_rozpoczecia;czy_stale;hashtagi
2969;59833;Weekend z Pawłem Pawlikowskim w Kinie KIKA;Pokazy filmowe;http://media.krakow.travel/photos/73341/m.jpg;obrazy_wydarzen_karnet/59833.jpg;Kinokawiarnia KIKA;ul. Krasickiego 18;Kraków;2025-05-31;;18:00;;#pokazy #filmowe
2868;38419;Spóźnione odwiedziny;Spektakle teatralne;http://media.krakow.travel/photos/47726/m.jpg;obrazy_wydarzen_karnet/38419.jpg;Teatr im. Juliusza Słowackiego – Scena Miniatura (Dom Machin);pl. Świętego Ducha 2;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
2869;57558;Moje domy na trzy głosy;Spektakle teatralne;http://media.krakow.travel/photos/70988/m.jpg;obrazy_wydarzen_karnet/57558.jpg;Scena Teatru Zależnego;ul. Kanonicza 1;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
2870;59475;Szpilki, koki i Włoski kochanek;Kabaret;http://media.krakow.travel/photos/72965/m.jpg;obrazy_wydarzen_karnet/59475.jpg;Muzeum Sztuki i Techniki Japońskiej Manggha;ul. Konopnickiej 26;Kraków;2025-05-31;;19:00;;#kabaret
2871;59485;Letni dzień;Spektakle teatralne;http://media.krakow.travel/photos/72975/m.jpg;obrazy_wydarzen_karnet/59485.jpg;Pod Jaszczurami;Rynek Główny 8;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
2872;59707;sKRRt – Konkurs Recytacji Rapu #5;Inne przedstawienia;http://media.krakow.travel/photos/73191/m.jpg;obrazy_wydarzen_karnet/59707.jpg;Teatr im. Juliusza Słowackiego;pl. Świętego Ducha 1;Kraków;2025-05-31;;19:30;;#inne #przedstawienia
2873;59605;StrefaEtno | Kapela ze Wsi Warszawa;Muzyka rozrywkowa;http://media.krakow.travel/photos/73089/m.jpg;obrazy_wydarzen_karnet/59605.jpg;Strefa Nowa;ul. Kopernika 19;Kraków;2025-05-31;;20:00;;#muzyka #rozrywkowa
2942;59260;Małopolski Festiwal Komiksu 2025;Festiwale literackie;http://media.krakow.travel/photos/72717/m.jpg;obrazy_wydarzen_karnet/59260.jpg;Arteteka Wojewódzkiej Biblioteki Publicznej;ul. Rajska 12;Kraków;2025-05-31;2025-06-01;;;#festiwale #literackie
2943;59817;Andy Warhol. Dialog z pop-artem;Wystawy czasowe;http://media.krakow.travel/photos/73324/m.jpg;obrazy_wydarzen_karnet/59817.jpg;Małopolskie Centrum Nauki Cogiteon;ul. Stefana Steca 1;Kraków;2025-05-31;2025-08-29;10:00;;#wystawy #czasowe
1521;24108;Dzieci z Dworca ZOO;Spektakle teatralne;http://media.krakow.travel/photos/71762/m.jpg;obrazy_wydarzen_karnet/24108.jpg;Teatr Barakah;ul. Paulińska 28;Kraków;2025-05-31;;19:00;;#spektakle #teatralne
