"id_strony","tytul","typ_wydarzenia_lista","data_lista","lokalizacja_lista","link_do_obrazka_lista","sciezka_do_pobranego_obrazka"
"57404","Salon Sztuki Polart","W gminach Metropolii","18.10.2024 - 12.01.2025","Muzeum Żup Krakowskich Wieliczka, ul. Zamkowa 8, Wieliczka","http://media.krakow.travel/photos/70846/m.jpg","obrazy_wydarzen_karnet/57404.jpg"
"56184","Jarmark Bożonarodzeniowy 2024","Targi i kiermasze","29.11.2024 - 01.01.2025","Rynek Główny","http://media.krakow.travel/photos/63994/m.jpg","obrazy_wydarzen_karnet/56184.jpg"
"57435","Żywa szopka i koncerty kolęd przy ul. Bociana","Dziecięce różności","15.12.2024 - 06.01.2025","","http://media.krakow.travel/photos/70864/m.jpg","obrazy_wydarzen_karnet/57435.jpg"
"57550","Jedno Muzeum, dwa skarby UNESCO","W gminach Metropolii","30.12.2024 - 28.02.2025","Muzeum Żup Krakowskich w Wieliczce – Ekspozycja podziemna, ul. Daniłowicza 10, Wieliczka","http://media.krakow.travel/photos/70978/m.jpg","obrazy_wydarzen_karnet/57550.jpg"
"47877","Mistrz i Małgorzata","Spektakle teatralne","19.12.2024, 11:30","Teatr Groteska, ul. Skarbowa 2","http://media.krakow.travel/photos/60246/m.jpg","obrazy_wydarzen_karnet/47877.jpg"
"57246","Kleks i wynalazek Filipa Golarza. Pokazy przedpremierowe w Kinie Agrafka","Pokazy filmowe","26.12.2024, 15:45","Kino Agrafka, ul. Krowoderska 8","http://media.krakow.travel/photos/70686/m.jpg","obrazy_wydarzen_karnet/57246.jpg"
"56881","Koncert noworoczny Filharmonii Krakowskiej","Muzyka klasyczna","01.01.2025, 17:00","Filharmonia Krakowska, ul. Zwierzyniecka 1","http://media.krakow.travel/photos/70280/m.jpg","obrazy_wydarzen_karnet/56881.jpg"
"57120","Emilia Pérez. Przedpremierowo w Kinie KIKA","Pokazy filmowe","26.12.2024, 17:45","Kinokawiarnia KIKA, ul. Krasickiego 18","http://media.krakow.travel/photos/70555/m.jpg","obrazy_wydarzen_karnet/57120.jpg"
"57249","Bogini Partenope. Pokaz przedpremierowy w Kinie Agrafka","Pokazy filmowe","01.01.2025, 18:00","Kino Agrafka, ul. Krowoderska 8","http://media.krakow.travel/photos/70690/m.jpg","obrazy_wydarzen_karnet/57249.jpg"
"57410","The Brutalist. Pokazy przedpremierowe w Kinie Pod Baranami","Pokazy filmowe","01.01.2025, 19:15","Kino Pod Baranami, Rynek Główny 27","http://media.krakow.travel/photos/70854/m.jpg","obrazy_wydarzen_karnet/57410.jpg"
"57545","Mangiatore di calzini –  pożeracz skarpetek","W gminach Metropolii","styczeń 2025","Miejska Biblioteka Publiczna w Skawinie, ul. Sikorskiego 18, Skawina","http://media.krakow.travel/photos/70973/m.jpg","obrazy_wydarzen_karnet/57545.jpg"
"57569","Szopka w stylu krakowskim","W gminach Metropolii","02.01.2025 - 31.01.2025","Zamek Królewski w Niepołomicach, ul. Zamkowa 2, Niepołomice","http://media.krakow.travel/photos/71001/m.jpg","obrazy_wydarzen_karnet/57569.jpg"
"57414","Kompletnie nieznany. Pokaz przedpremierowy w Kinie Pod Baranami","Pokazy filmowe","04.12.2024, 18:00","Kino Pod Baranami, Rynek Główny 27","http://media.krakow.travel/photos/70859/m.jpg","obrazy_wydarzen_karnet/57414.jpg"
"31576","Boże mój!","Spektakle teatralne","10.06.2025, 19:00","Krakowski Teatr Scena STU, al. Krasińskiego 16","http://media.krakow.travel/photos/39652/m.jpg","obrazy_wydarzen_karnet/31576.jpg"
"55220","Operetki czar: koncert noworoczny w ICE Kraków","Muzyka klasyczna","02.01.2025, 19:00","Centrum Kongresowe ICE Kraków, ul. Konopnickiej 17","http://media.krakow.travel/photos/68456/m.jpg","obrazy_wydarzen_karnet/55220.jpg"
"57303","Saint-Exupery. Zanim powstał Mały Książę. OFFowe Kino w Multikinie","Pokazy filmowe","02.01.2025, 20:00","Multikino, ul. Dobrego Pasterza 128","http://media.krakow.travel/photos/70740/m.jpg","obrazy_wydarzen_karnet/57303.jpg"
